benchmark,model,harbor_agent,score_harbor,score_doc,delta,abs_delta,doc_model_matched,doc_agent_matched,match_status,doc_metric,doc_slice_date,alignment_status,alignment_transform,alignment_notes
hle,gpt-5.4,terminus-2,0.195181,0.3624,-0.167219,0.167219,gpt-5.4-2026-03-05 (xhigh thinking),,matched_model_only_doc_no_agent,accuracy,2026-04-20,direct,identity,"Use accuracy, not calibration error."
hle,claude-opus-4-6,terminus-2,0.354217,0.19,0.164217,0.164217,claude-opus-4-6 (Non-Thinking),,matched_model_only_doc_no_agent,accuracy,2026-04-20,direct,identity,"Use accuracy, not calibration error."
algotune,gemini-3.1-pro-preview,terminus-2,0.250081,0.4128345597955406,-0.16275355979554063,0.16275355979554063,Gemini 3.1 Pro Preview,AlgoTuner,matched_model_agent_mismatch,AlgoTune Score,2026-04-20,transformed,"lambda x: math.log(max(1.0, x)) / (math.log(max(1.0, x)) + 1.0)",Harbor applies the documented log-speedup compression to raw speedup factors.
gso,gpt-5.4,terminus-2,0.152941,0.3137,-0.16075899999999999,0.16075899999999999,GPT-5.4 (xhigh),OpenHands,matched_model_agent_mismatch,Opt@1,2026-03-10,direct,identity,"Use Opt@1, not hack-adjusted or Opt@10 variants."
hle,gpt-5.4,codex,0.508434,0.3624,0.14603400000000005,0.14603400000000005,gpt-5.4-2026-03-05 (xhigh thinking),,matched_model_only_doc_no_agent,accuracy,2026-04-20,direct,identity,"Use accuracy, not calibration error."
algotune,gpt-5.4,terminus-2,0.23964,0.38087611987235215,-0.14123611987235216,0.14123611987235216,GPT-5.4,AlgoTuner,matched_model_agent_mismatch,AlgoTune Score,2026-04-20,transformed,"lambda x: math.log(max(1.0, x)) / (math.log(max(1.0, x)) + 1.0)",Harbor applies the documented log-speedup compression to raw speedup factors.
terminalbench_2_0,gpt-5.4,codex,0.68764,0.8179775280898877,-0.13033752808988763,0.13033752808988763,GPT-5.4,ForgeCode,matched_model_agent_mismatch,accuracy,2026-04-23,direct,identity,"Full 89-task Terminal-Bench 2.0 set matches the current Harbor task matrix. Metric is single 0-1 accuracy, and overlapping leaderboard model+agent rows such as Claude Opus 4.6 with Claude Code/Terminus 2 and Gemini 3 Flash with Terminus 2 are on the same scale."
algotune,gpt-5.4,codex,0.254969,0.38087611987235215,-0.12590711987235215,0.12590711987235215,GPT-5.4,AlgoTuner,matched_model_agent_mismatch,AlgoTune Score,2026-04-20,transformed,"lambda x: math.log(max(1.0, x)) / (math.log(max(1.0, x)) + 1.0)",Harbor applies the documented log-speedup compression to raw speedup factors.
sldbench,claude-haiku-4-5-20251001,terminus-2,0.638622,0.7597229750000001,-0.12110097500000006,0.12110097500000006,claude-haiku-4-5-20251001,SLDAgent,matched_model_agent_mismatch,Mean R^2 (all_tasks),2025-07-28,transformed,lambda x: (x + 1.0) / 2.0,"Harbor scoring notes map raw R^2-style rewards from [-1, 1] to [0, 1]."
swe_bench_pro,gemini-3-flash-preview,gemini-cli,0.462,0.3463,0.11570000000000003,0.11570000000000003,gemini-3-flash,SWE-Agent,matched_model_agent_mismatch,Pass@1 resolve rate,2026-04,direct,identity,"Use pass@1 resolve rate, not stderr."
terminalbench_2_0,gemini-3.1-pro-preview,terminus-2,0.692135,0.802247191011236,-0.11011219101123604,0.11011219101123604,Gemini 3.1 Pro,TongAgents,matched_model_agent_mismatch,accuracy,2026-04-23,direct,identity,"Full 89-task Terminal-Bench 2.0 set matches the current Harbor task matrix. Metric is single 0-1 accuracy, and overlapping leaderboard model+agent rows such as Claude Opus 4.6 with Claude Code/Terminus 2 and Gemini 3 Flash with Terminus 2 are on the same scale."
bfcl,claude-haiku-4-5-20251001,claude-code,0.726829,0.830638,-0.10380900000000004,0.10380900000000004,Claude-Haiku-4-5-20251001,,matched_model_only_doc_no_agent,accuracy (overall),2026-04-12,direct,identity,"Use overall accuracy, not cost, latency, or format sensitivity metrics."
hle,gpt-5-mini,codex,0.296386,0.1944,0.101986,0.101986,gpt-5-mini-2025-08-07,,matched_model_only_doc_no_agent,accuracy,2026-04-20,direct,identity,"Use accuracy, not calibration error."
algotune,gemini-3.1-pro-preview,gemini-cli,0.31694,0.4128345597955406,-0.09589455979554062,0.09589455979554062,Gemini 3.1 Pro Preview,AlgoTuner,matched_model_agent_mismatch,AlgoTune Score,2026-04-20,transformed,"lambda x: math.log(max(1.0, x)) / (math.log(max(1.0, x)) + 1.0)",Harbor applies the documented log-speedup compression to raw speedup factors.
bfcl,gpt-5-nano,codex,0.621138,0.713683,-0.09254499999999999,0.09254499999999999,GPT-5-nano-2025-08-07,,matched_model_only_doc_no_agent,accuracy (overall),2026-04-12,direct,identity,"Use overall accuracy, not cost, latency, or format sensitivity metrics."
bfcl,gpt-5-nano,terminus-2,0.63252,0.713683,-0.08116299999999999,0.08116299999999999,GPT-5-nano-2025-08-07,,matched_model_only_doc_no_agent,accuracy (overall),2026-04-12,direct,identity,"Use overall accuracy, not cost, latency, or format sensitivity metrics."
hle,gemini-3.1-pro-preview,gemini-cli,0.543775,0.4644,0.07937500000000003,0.07937500000000003,gemini-3.1-pro-preview (thinking high),,matched_model_only_doc_no_agent,accuracy,2026-04-20,direct,identity,"Use accuracy, not calibration error."
bfcl,gpt-5-mini,terminus-2,0.798374,0.72183,0.07654400000000006,0.07654400000000006,GPT-5-mini-2025-08-07,,matched_model_only_doc_no_agent,accuracy (overall),2026-04-12,direct,identity,"Use overall accuracy, not cost, latency, or format sensitivity metrics."
bfcl,claude-haiku-4-5-20251001,terminus-2,0.75935,0.830638,-0.07128800000000002,0.07128800000000002,Claude-Haiku-4-5-20251001,,matched_model_only_doc_no_agent,accuracy (overall),2026-04-12,direct,identity,"Use overall accuracy, not cost, latency, or format sensitivity metrics."
hle,gemini-3.1-pro-preview,terminus-2,0.528514,0.4644,0.06411400000000006,0.06411400000000006,gemini-3.1-pro-preview (thinking high),,matched_model_only_doc_no_agent,accuracy,2026-04-20,direct,identity,"Use accuracy, not calibration error."
terminalbench_2_0,gpt-5-nano,codex,0.051685,0.1146067415730337,-0.06292174157303371,0.06292174157303371,GPT-5-Nano,Codex CLI,matched_model_agent_mismatch,accuracy,2026-04-23,direct,identity,"Full 89-task Terminal-Bench 2.0 set matches the current Harbor task matrix. Metric is single 0-1 accuracy, and overlapping leaderboard model+agent rows such as Claude Opus 4.6 with Claude Code/Terminus 2 and Gemini 3 Flash with Terminus 2 are on the same scale."
terminalbench_2_0,claude-haiku-4-5-20251001,claude-code,0.337079,0.2752808988764045,0.06179810112359552,0.06179810112359552,Claude Haiku 4.5,Claude Code,matched_model_and_agent,accuracy,2026-04-23,direct,identity,"Full 89-task Terminal-Bench 2.0 set matches the current Harbor task matrix. Metric is single 0-1 accuracy, and overlapping leaderboard model+agent rows such as Claude Opus 4.6 with Claude Code/Terminus 2 and Gemini 3 Flash with Terminus 2 are on the same scale."
hle,gpt-5-mini,terminus-2,0.134137,0.1944,-0.06026299999999998,0.06026299999999998,gpt-5-mini-2025-08-07,,matched_model_only_doc_no_agent,accuracy,2026-04-20,direct,identity,"Use accuracy, not calibration error."
gso,gpt-5.4,codex,0.372549,0.3137,0.05884900000000004,0.05884900000000004,GPT-5.4 (xhigh),OpenHands,matched_model_agent_mismatch,Opt@1,2026-03-10,direct,identity,"Use Opt@1, not hack-adjusted or Opt@10 variants."
swe_bench_pro,gpt-5.4,codex,0.538,0.591,-0.052999999999999936,0.052999999999999936,gpt-5.4,mini-swe-agent,matched_model_agent_mismatch,Pass@1 resolve rate,2026-04,direct,identity,"Use pass@1 resolve rate, not stderr."
algotune,claude-opus-4-6,terminus-2,0.330583,0.2781151069795546,0.05246789302044541,0.05246789302044541,Claude Opus 4.6,AlgoTuner,matched_model_agent_mismatch,AlgoTune Score,2026-04-20,transformed,"lambda x: math.log(max(1.0, x)) / (math.log(max(1.0, x)) + 1.0)",Harbor applies the documented log-speedup compression to raw speedup factors.
sldbench,claude-haiku-4-5-20251001,claude-code,0.760526,0.70970173125,0.05082426875000001,0.05082426875000001,claude-haiku-4-5,claude-code,matched_model_and_agent,Mean R^2 (all_tasks),2025-07-28,transformed,lambda x: (x + 1.0) / 2.0,"Harbor scoring notes map raw R^2-style rewards from [-1, 1] to [0, 1]."
terminalbench_2_0,gemini-3-flash-preview,gemini-cli,0.523596,0.47415730337078654,0.04943869662921341,0.04943869662921341,Gemini 3 Flash,Gemini CLI,matched_model_and_agent,accuracy,2026-04-23,direct,identity,"Full 89-task Terminal-Bench 2.0 set matches the current Harbor task matrix. Metric is single 0-1 accuracy, and overlapping leaderboard model+agent rows such as Claude Opus 4.6 with Claude Code/Terminus 2 and Gemini 3 Flash with Terminus 2 are on the same scale."
bfcl,gpt-5-mini,codex,0.762602,0.72183,0.04077200000000003,0.04077200000000003,GPT-5-mini-2025-08-07,,matched_model_only_doc_no_agent,accuracy (overall),2026-04-12,direct,identity,"Use overall accuracy, not cost, latency, or format sensitivity metrics."
terminalbench_2_0,claude-opus-4-6,claude-code,0.608989,0.5797752808988764,0.02921371910112358,0.02921371910112358,Claude Opus 4.6,Claude Code,matched_model_and_agent,accuracy,2026-04-23,direct,identity,"Full 89-task Terminal-Bench 2.0 set matches the current Harbor task matrix. Metric is single 0-1 accuracy, and overlapping leaderboard model+agent rows such as Claude Opus 4.6 with Claude Code/Terminus 2 and Gemini 3 Flash with Terminus 2 are on the same scale."
terminalbench_2_0,gpt-5-nano,terminus-2,0.107865,0.07865168539325842,0.029213314606741578,0.029213314606741578,GPT-5-Nano,Terminus 2,matched_model_and_agent,accuracy,2026-04-23,direct,identity,"Full 89-task Terminal-Bench 2.0 set matches the current Harbor task matrix. Metric is single 0-1 accuracy, and overlapping leaderboard model+agent rows such as Claude Opus 4.6 with Claude Code/Terminus 2 and Gemini 3 Flash with Terminus 2 are on the same scale."
algotune,claude-opus-4-6,claude-code,0.304273,0.2781151069795546,0.02615789302044541,0.02615789302044541,Claude Opus 4.6,AlgoTuner,matched_model_agent_mismatch,AlgoTune Score,2026-04-20,transformed,"lambda x: math.log(max(1.0, x)) / (math.log(max(1.0, x)) + 1.0)",Harbor applies the documented log-speedup compression to raw speedup factors.
swe_bench_pro,gemini-3-flash-preview,terminus-2,0.37,0.3463,0.0237,0.0237,gemini-3-flash,SWE-Agent,matched_model_agent_mismatch,Pass@1 resolve rate,2026-04,direct,identity,"Use pass@1 resolve rate, not stderr."
swe_bench_pro,claude-opus-4-6,terminus-2,0.496,0.519,-0.02300000000000002,0.02300000000000002,claude-opus-4-6,mini-swe-agent,matched_model_agent_mismatch,Pass@1 resolve rate,2026-04,direct,identity,"Use pass@1 resolve rate, not stderr."
terminalbench_2_0,claude-haiku-4-5-20251001,terminus-2,0.305618,0.28314606741573034,0.02247193258426966,0.02247193258426966,Claude Haiku 4.5,Terminus 2,matched_model_and_agent,accuracy,2026-04-23,direct,identity,"Full 89-task Terminal-Bench 2.0 set matches the current Harbor task matrix. Metric is single 0-1 accuracy, and overlapping leaderboard model+agent rows such as Claude Opus 4.6 with Claude Code/Terminus 2 and Gemini 3 Flash with Terminus 2 are on the same scale."
swe_bench_pro,claude-opus-4-6,claude-code,0.538,0.519,0.019000000000000017,0.019000000000000017,claude-opus-4-6,mini-swe-agent,matched_model_agent_mismatch,Pass@1 resolve rate,2026-04,direct,identity,"Use pass@1 resolve rate, not stderr."
terminalbench_2_0,gpt-5-mini,codex,0.366292,0.34831460674157305,0.017977393258426955,0.017977393258426955,GPT-5-Mini,spoox-m,matched_model_agent_mismatch,accuracy,2026-04-23,direct,identity,"Full 89-task Terminal-Bench 2.0 set matches the current Harbor task matrix. Metric is single 0-1 accuracy, and overlapping leaderboard model+agent rows such as Claude Opus 4.6 with Claude Code/Terminus 2 and Gemini 3 Flash with Terminus 2 are on the same scale."
terminalbench_2_0,claude-opus-4-6,terminus-2,0.61573,0.6292134831460674,-0.013483483146067399,0.013483483146067399,Claude Opus 4.6,Terminus 2,matched_model_and_agent,accuracy,2026-04-23,direct,identity,"Full 89-task Terminal-Bench 2.0 set matches the current Harbor task matrix. Metric is single 0-1 accuracy, and overlapping leaderboard model+agent rows such as Claude Opus 4.6 with Claude Code/Terminus 2 and Gemini 3 Flash with Terminus 2 are on the same scale."
swe_bench_pro,gemini-3.1-pro-preview,terminus-2,0.474,0.461,0.012999999999999956,0.012999999999999956,gemini-3.1-pro,mini-swe-agent,matched_model_agent_mismatch,Pass@1 resolve rate,2026-04,direct,identity,"Use pass@1 resolve rate, not stderr."
terminalbench_2_0,gpt-5-mini,terminus-2,0.252809,0.24044943820224718,0.012359561797752827,0.012359561797752827,GPT-5-Mini,Terminus 2,matched_model_and_agent,accuracy,2026-04-23,direct,identity,"Full 89-task Terminal-Bench 2.0 set matches the current Harbor task matrix. Metric is single 0-1 accuracy, and overlapping leaderboard model+agent rows such as Claude Opus 4.6 with Claude Code/Terminus 2 and Gemini 3 Flash with Terminus 2 are on the same scale."
swe_bench_pro,gemini-3.1-pro-preview,gemini-cli,0.456,0.461,-0.0050000000000000044,0.0050000000000000044,gemini-3.1-pro,mini-swe-agent,matched_model_agent_mismatch,Pass@1 resolve rate,2026-04,direct,identity,"Use pass@1 resolve rate, not stderr."
terminalbench_2_0,gemini-3-flash-preview,terminus-2,0.51236,0.5168539325842697,-0.0044939325842696665,0.0044939325842696665,Gemini 3 Flash,Terminus 2,matched_model_and_agent,accuracy,2026-04-23,direct,identity,"Full 89-task Terminal-Bench 2.0 set matches the current Harbor task matrix. Metric is single 0-1 accuracy, and overlapping leaderboard model+agent rows such as Claude Opus 4.6 with Claude Code/Terminus 2 and Gemini 3 Flash with Terminus 2 are on the same scale."
