matrix_column,stem,benchmark_name,model,agent,score_harbor,score_doc,delta,doc_model_matched,doc_agent_matched,doc_metric_used,primary_metric_json,doc_slice_date,doc_source_url,match_status,alignment_status,alignment_transform,include_in_comparison,alignment_evidence_level,alignment_notes
aider-polyglot,aider_polyglot,Aider Polyglot,gpt-5-mini,terminus-2,0.365333,,,,,,pass rate,2025-11-20,https://aider.chat/docs/leaderboards/,no_model_match,direct,identity,True,metric_name_match,Same pass-rate direction and 0-1 scale.
aider-polyglot,aider_polyglot,Aider Polyglot,gpt-5-mini,codex,0.534222,,,,,,pass rate,2025-11-20,https://aider.chat/docs/leaderboards/,no_model_match,direct,identity,True,metric_name_match,Same pass-rate direction and 0-1 scale.
aider-polyglot,aider_polyglot,Aider Polyglot,gpt-5-nano,terminus-2,0.139556,,,,,,pass rate,2025-11-20,https://aider.chat/docs/leaderboards/,no_model_match,direct,identity,True,metric_name_match,Same pass-rate direction and 0-1 scale.
aider-polyglot,aider_polyglot,Aider Polyglot,gpt-5-nano,codex,0.094222,,,,,,pass rate,2025-11-20,https://aider.chat/docs/leaderboards/,no_model_match,direct,identity,True,metric_name_match,Same pass-rate direction and 0-1 scale.
aider-polyglot,aider_polyglot,Aider Polyglot,claude-haiku-4-5-20251001,terminus-2,0.306889,,,,,,pass rate,2025-11-20,https://aider.chat/docs/leaderboards/,no_model_match,direct,identity,True,metric_name_match,Same pass-rate direction and 0-1 scale.
aider-polyglot,aider_polyglot,Aider Polyglot,claude-haiku-4-5-20251001,claude-code,0.299556,,,,,,pass rate,2025-11-20,https://aider.chat/docs/leaderboards/,no_model_match,direct,identity,True,metric_name_match,Same pass-rate direction and 0-1 scale.
aider-polyglot,aider_polyglot,Aider Polyglot,claude-sonnet-4-6,terminus-2,0.577778,,,,,,pass rate,2025-11-20,https://aider.chat/docs/leaderboards/,no_model_match,direct,identity,True,metric_name_match,Same pass-rate direction and 0-1 scale.
aider-polyglot,aider_polyglot,Aider Polyglot,claude-sonnet-4-6,claude-code,0.563556,,,,,,pass rate,2025-11-20,https://aider.chat/docs/leaderboards/,no_model_match,direct,identity,True,metric_name_match,Same pass-rate direction and 0-1 scale.
aider-polyglot,aider_polyglot,Aider Polyglot,claude-opus-4-6,terminus-2,0.712889,,,,,,pass rate,2025-11-20,https://aider.chat/docs/leaderboards/,no_model_match,direct,identity,True,metric_name_match,Same pass-rate direction and 0-1 scale.
aider-polyglot,aider_polyglot,Aider Polyglot,claude-opus-4-6,claude-code,0.685333,,,,,,pass rate,2025-11-20,https://aider.chat/docs/leaderboards/,no_model_match,direct,identity,True,metric_name_match,Same pass-rate direction and 0-1 scale.
aider-polyglot,aider_polyglot,Aider Polyglot,gemini-3.1-pro-preview,terminus-2,0.792,,,,,,pass rate,2025-11-20,https://aider.chat/docs/leaderboards/,no_model_match,direct,identity,True,metric_name_match,Same pass-rate direction and 0-1 scale.
aider-polyglot,aider_polyglot,Aider Polyglot,gemini-3.1-pro-preview,gemini-cli,0.88,,,,,,pass rate,2025-11-20,https://aider.chat/docs/leaderboards/,no_model_match,direct,identity,True,metric_name_match,Same pass-rate direction and 0-1 scale.
aider-polyglot,aider_polyglot,Aider Polyglot,gemini-3-flash-preview,terminus-2,0.662667,,,,,,pass rate,2025-11-20,https://aider.chat/docs/leaderboards/,no_model_match,direct,identity,True,metric_name_match,Same pass-rate direction and 0-1 scale.
aider-polyglot,aider_polyglot,Aider Polyglot,gemini-3-flash-preview,gemini-cli,0.698667,,,,,,pass rate,2025-11-20,https://aider.chat/docs/leaderboards/,no_model_match,direct,identity,True,metric_name_match,Same pass-rate direction and 0-1 scale.
aime,aime,AIME,gpt-5.4,terminus-2,0.733333,,,,,,accuracy,2026-04,https://www.vals.ai/benchmarks/aime,no_model_match,direct,identity,True,metric_name_match,"Use the 60-question AIME 2024 + 2025 pass@1 metric, not per-year splits."
aime,aime,AIME,gpt-5.4,codex,0.986667,,,,,,accuracy,2026-04,https://www.vals.ai/benchmarks/aime,no_model_match,direct,identity,True,metric_name_match,"Use the 60-question AIME 2024 + 2025 pass@1 metric, not per-year splits."
aime,aime,AIME,gpt-5-mini,terminus-2,0.893333,,,,,,accuracy,2026-04,https://www.vals.ai/benchmarks/aime,no_model_match,direct,identity,True,metric_name_match,"Use the 60-question AIME 2024 + 2025 pass@1 metric, not per-year splits."
aime,aime,AIME,gpt-5-mini,codex,0.96,,,,,,accuracy,2026-04,https://www.vals.ai/benchmarks/aime,no_model_match,direct,identity,True,metric_name_match,"Use the 60-question AIME 2024 + 2025 pass@1 metric, not per-year splits."
aime,aime,AIME,gpt-5-nano,terminus-2,0.773333,,,,,,accuracy,2026-04,https://www.vals.ai/benchmarks/aime,no_model_match,direct,identity,True,metric_name_match,"Use the 60-question AIME 2024 + 2025 pass@1 metric, not per-year splits."
aime,aime,AIME,gpt-5-nano,codex,0.743333,,,,,,accuracy,2026-04,https://www.vals.ai/benchmarks/aime,no_model_match,direct,identity,True,metric_name_match,"Use the 60-question AIME 2024 + 2025 pass@1 metric, not per-year splits."
aime,aime,AIME,claude-haiku-4-5-20251001,terminus-2,0.573056,,,,,,accuracy,2026-04,https://www.vals.ai/benchmarks/aime,no_model_match,direct,identity,True,metric_name_match,"Use the 60-question AIME 2024 + 2025 pass@1 metric, not per-year splits."
aime,aime,AIME,claude-haiku-4-5-20251001,claude-code,0.87,,,,,,accuracy,2026-04,https://www.vals.ai/benchmarks/aime,no_model_match,direct,identity,True,metric_name_match,"Use the 60-question AIME 2024 + 2025 pass@1 metric, not per-year splits."
aime,aime,AIME,claude-sonnet-4-6,terminus-2,0.98,,,,,,accuracy,2026-04,https://www.vals.ai/benchmarks/aime,no_model_match,direct,identity,True,metric_name_match,"Use the 60-question AIME 2024 + 2025 pass@1 metric, not per-year splits."
aime,aime,AIME,claude-sonnet-4-6,claude-code,0.96,,,,,,accuracy,2026-04,https://www.vals.ai/benchmarks/aime,no_model_match,direct,identity,True,metric_name_match,"Use the 60-question AIME 2024 + 2025 pass@1 metric, not per-year splits."
aime,aime,AIME,claude-opus-4-6,terminus-2,0.983333,,,,,,accuracy,2026-04,https://www.vals.ai/benchmarks/aime,no_model_match,direct,identity,True,metric_name_match,"Use the 60-question AIME 2024 + 2025 pass@1 metric, not per-year splits."
aime,aime,AIME,claude-opus-4-6,claude-code,0.993333,,,,,,accuracy,2026-04,https://www.vals.ai/benchmarks/aime,no_model_match,direct,identity,True,metric_name_match,"Use the 60-question AIME 2024 + 2025 pass@1 metric, not per-year splits."
aime,aime,AIME,gemini-3.1-pro-preview,terminus-2,0.986667,,,,,,accuracy,2026-04,https://www.vals.ai/benchmarks/aime,no_model_match,direct,identity,True,metric_name_match,"Use the 60-question AIME 2024 + 2025 pass@1 metric, not per-year splits."
aime,aime,AIME,gemini-3.1-pro-preview,gemini-cli,0.993333,,,,,,accuracy,2026-04,https://www.vals.ai/benchmarks/aime,no_model_match,direct,identity,True,metric_name_match,"Use the 60-question AIME 2024 + 2025 pass@1 metric, not per-year splits."
aime,aime,AIME,gemini-3-flash-preview,terminus-2,0.886667,,,,,,accuracy,2026-04,https://www.vals.ai/benchmarks/aime,no_model_match,direct,identity,True,metric_name_match,"Use the 60-question AIME 2024 + 2025 pass@1 metric, not per-year splits."
aime,aime,AIME,gemini-3-flash-preview,gemini-cli,0.8,,,,,,accuracy,2026-04,https://www.vals.ai/benchmarks/aime,no_model_match,direct,identity,True,metric_name_match,"Use the 60-question AIME 2024 + 2025 pass@1 metric, not per-year splits."
algotune,algotune,AlgoTune,gpt-5.4,terminus-2,0.23964,0.38087611987235215,-0.14123611987235216,GPT-5.4,AlgoTuner,AlgoTune Score,AlgoTune Score,2026-04-20,https://algotune.io/,matched_model_agent_mismatch,transformed,"lambda x: math.log(max(1.0, x)) / (math.log(max(1.0, x)) + 1.0)",True,manual_review,Harbor applies the documented log-speedup compression to raw speedup factors.
algotune,algotune,AlgoTune,gpt-5.4,codex,0.254969,0.38087611987235215,-0.12590711987235215,GPT-5.4,AlgoTuner,AlgoTune Score,AlgoTune Score,2026-04-20,https://algotune.io/,matched_model_agent_mismatch,transformed,"lambda x: math.log(max(1.0, x)) / (math.log(max(1.0, x)) + 1.0)",True,manual_review,Harbor applies the documented log-speedup compression to raw speedup factors.
algotune,algotune,AlgoTune,gpt-5-mini,terminus-2,0.192382,,,,,,AlgoTune Score,2026-04-20,https://algotune.io/,no_model_match,transformed,"lambda x: math.log(max(1.0, x)) / (math.log(max(1.0, x)) + 1.0)",True,manual_review,Harbor applies the documented log-speedup compression to raw speedup factors.
algotune,algotune,AlgoTune,gpt-5-mini,codex,0.100264,,,,,,AlgoTune Score,2026-04-20,https://algotune.io/,no_model_match,transformed,"lambda x: math.log(max(1.0, x)) / (math.log(max(1.0, x)) + 1.0)",True,manual_review,Harbor applies the documented log-speedup compression to raw speedup factors.
algotune,algotune,AlgoTune,gpt-5-nano,terminus-2,0.0,,,,,,AlgoTune Score,2026-04-20,https://algotune.io/,no_model_match,transformed,"lambda x: math.log(max(1.0, x)) / (math.log(max(1.0, x)) + 1.0)",True,manual_review,Harbor applies the documented log-speedup compression to raw speedup factors.
algotune,algotune,AlgoTune,gpt-5-nano,codex,0.0,,,,,,AlgoTune Score,2026-04-20,https://algotune.io/,no_model_match,transformed,"lambda x: math.log(max(1.0, x)) / (math.log(max(1.0, x)) + 1.0)",True,manual_review,Harbor applies the documented log-speedup compression to raw speedup factors.
algotune,algotune,AlgoTune,claude-haiku-4-5-20251001,terminus-2,0.137075,,,,,,AlgoTune Score,2026-04-20,https://algotune.io/,no_model_match,transformed,"lambda x: math.log(max(1.0, x)) / (math.log(max(1.0, x)) + 1.0)",True,manual_review,Harbor applies the documented log-speedup compression to raw speedup factors.
algotune,algotune,AlgoTune,claude-haiku-4-5-20251001,claude-code,0.182812,,,,,,AlgoTune Score,2026-04-20,https://algotune.io/,no_model_match,transformed,"lambda x: math.log(max(1.0, x)) / (math.log(max(1.0, x)) + 1.0)",True,manual_review,Harbor applies the documented log-speedup compression to raw speedup factors.
algotune,algotune,AlgoTune,claude-sonnet-4-6,terminus-2,0.316273,,,,,,AlgoTune Score,2026-04-20,https://algotune.io/,no_model_match,transformed,"lambda x: math.log(max(1.0, x)) / (math.log(max(1.0, x)) + 1.0)",True,manual_review,Harbor applies the documented log-speedup compression to raw speedup factors.
algotune,algotune,AlgoTune,claude-sonnet-4-6,claude-code,0.333387,,,,,,AlgoTune Score,2026-04-20,https://algotune.io/,no_model_match,transformed,"lambda x: math.log(max(1.0, x)) / (math.log(max(1.0, x)) + 1.0)",True,manual_review,Harbor applies the documented log-speedup compression to raw speedup factors.
algotune,algotune,AlgoTune,claude-opus-4-6,terminus-2,0.330583,0.2781151069795546,0.05246789302044541,Claude Opus 4.6,AlgoTuner,AlgoTune Score,AlgoTune Score,2026-04-20,https://algotune.io/,matched_model_agent_mismatch,transformed,"lambda x: math.log(max(1.0, x)) / (math.log(max(1.0, x)) + 1.0)",True,manual_review,Harbor applies the documented log-speedup compression to raw speedup factors.
algotune,algotune,AlgoTune,claude-opus-4-6,claude-code,0.304273,0.2781151069795546,0.02615789302044541,Claude Opus 4.6,AlgoTuner,AlgoTune Score,AlgoTune Score,2026-04-20,https://algotune.io/,matched_model_agent_mismatch,transformed,"lambda x: math.log(max(1.0, x)) / (math.log(max(1.0, x)) + 1.0)",True,manual_review,Harbor applies the documented log-speedup compression to raw speedup factors.
algotune,algotune,AlgoTune,gemini-3.1-pro-preview,terminus-2,0.250081,0.4128345597955406,-0.16275355979554063,Gemini 3.1 Pro Preview,AlgoTuner,AlgoTune Score,AlgoTune Score,2026-04-20,https://algotune.io/,matched_model_agent_mismatch,transformed,"lambda x: math.log(max(1.0, x)) / (math.log(max(1.0, x)) + 1.0)",True,manual_review,Harbor applies the documented log-speedup compression to raw speedup factors.
algotune,algotune,AlgoTune,gemini-3.1-pro-preview,gemini-cli,0.31694,0.4128345597955406,-0.09589455979554062,Gemini 3.1 Pro Preview,AlgoTuner,AlgoTune Score,AlgoTune Score,2026-04-20,https://algotune.io/,matched_model_agent_mismatch,transformed,"lambda x: math.log(max(1.0, x)) / (math.log(max(1.0, x)) + 1.0)",True,manual_review,Harbor applies the documented log-speedup compression to raw speedup factors.
algotune,algotune,AlgoTune,gemini-3-flash-preview,terminus-2,0.195856,,,,,,AlgoTune Score,2026-04-20,https://algotune.io/,no_model_match,transformed,"lambda x: math.log(max(1.0, x)) / (math.log(max(1.0, x)) + 1.0)",True,manual_review,Harbor applies the documented log-speedup compression to raw speedup factors.
algotune,algotune,AlgoTune,gemini-3-flash-preview,gemini-cli,0.041508,,,,,,AlgoTune Score,2026-04-20,https://algotune.io/,no_model_match,transformed,"lambda x: math.log(max(1.0, x)) / (math.log(max(1.0, x)) + 1.0)",True,manual_review,Harbor applies the documented log-speedup compression to raw speedup factors.
arc-agi-2,arc_agi_2,ARC-AGI-2,gpt-5.4,terminus-2,0.018,,,,,,accuracy,2026-04-16,https://arcprize.org/leaderboard,no_model_match,direct,identity,True,metric_name_match,Legacy single-score rows are documented as ARC-AGI-2 accuracy.
arc-agi-2,arc_agi_2,ARC-AGI-2,gpt-5.4,codex,0.532,,,,,,accuracy,2026-04-16,https://arcprize.org/leaderboard,no_model_match,direct,identity,True,metric_name_match,Legacy single-score rows are documented as ARC-AGI-2 accuracy.
arc-agi-2,arc_agi_2,ARC-AGI-2,gpt-5-mini,terminus-2,0.004,,,,,,accuracy,2026-04-16,https://arcprize.org/leaderboard,no_model_match,direct,identity,True,metric_name_match,Legacy single-score rows are documented as ARC-AGI-2 accuracy.
arc-agi-2,arc_agi_2,ARC-AGI-2,gpt-5-mini,codex,0.008,,,,,,accuracy,2026-04-16,https://arcprize.org/leaderboard,no_model_match,direct,identity,True,metric_name_match,Legacy single-score rows are documented as ARC-AGI-2 accuracy.
arc-agi-2,arc_agi_2,ARC-AGI-2,gpt-5-nano,terminus-2,0.0,,,,,,accuracy,2026-04-16,https://arcprize.org/leaderboard,no_model_match,direct,identity,True,metric_name_match,Legacy single-score rows are documented as ARC-AGI-2 accuracy.
arc-agi-2,arc_agi_2,ARC-AGI-2,gpt-5-nano,codex,0.0,,,,,,accuracy,2026-04-16,https://arcprize.org/leaderboard,no_model_match,direct,identity,True,metric_name_match,Legacy single-score rows are documented as ARC-AGI-2 accuracy.
arc-agi-2,arc_agi_2,ARC-AGI-2,claude-haiku-4-5-20251001,terminus-2,0.008,,,,,,accuracy,2026-04-16,https://arcprize.org/leaderboard,no_model_match,direct,identity,True,metric_name_match,Legacy single-score rows are documented as ARC-AGI-2 accuracy.
arc-agi-2,arc_agi_2,ARC-AGI-2,claude-haiku-4-5-20251001,claude-code,0.06,,,,,,accuracy,2026-04-16,https://arcprize.org/leaderboard,no_model_match,direct,identity,True,metric_name_match,Legacy single-score rows are documented as ARC-AGI-2 accuracy.
arc-agi-2,arc_agi_2,ARC-AGI-2,claude-sonnet-4-6,terminus-2,0.178,,,,,,accuracy,2026-04-16,https://arcprize.org/leaderboard,no_model_match,direct,identity,True,metric_name_match,Legacy single-score rows are documented as ARC-AGI-2 accuracy.
arc-agi-2,arc_agi_2,ARC-AGI-2,claude-sonnet-4-6,claude-code,0.182,,,,,,accuracy,2026-04-16,https://arcprize.org/leaderboard,no_model_match,direct,identity,True,metric_name_match,Legacy single-score rows are documented as ARC-AGI-2 accuracy.
arc-agi-2,arc_agi_2,ARC-AGI-2,claude-opus-4-6,terminus-2,0.371,,,,,,accuracy,2026-04-16,https://arcprize.org/leaderboard,no_model_match,direct,identity,True,metric_name_match,Legacy single-score rows are documented as ARC-AGI-2 accuracy.
arc-agi-2,arc_agi_2,ARC-AGI-2,claude-opus-4-6,claude-code,0.438,,,,,,accuracy,2026-04-16,https://arcprize.org/leaderboard,no_model_match,direct,identity,True,metric_name_match,Legacy single-score rows are documented as ARC-AGI-2 accuracy.
arc-agi-2,arc_agi_2,ARC-AGI-2,gemini-3.1-pro-preview,terminus-2,0.6,,,,,,accuracy,2026-04-16,https://arcprize.org/leaderboard,no_model_match,direct,identity,True,metric_name_match,Legacy single-score rows are documented as ARC-AGI-2 accuracy.
arc-agi-2,arc_agi_2,ARC-AGI-2,gemini-3.1-pro-preview,gemini-cli,0.742,,,,,,accuracy,2026-04-16,https://arcprize.org/leaderboard,no_model_match,direct,identity,True,metric_name_match,Legacy single-score rows are documented as ARC-AGI-2 accuracy.
arc-agi-2,arc_agi_2,ARC-AGI-2,gemini-3-flash-preview,terminus-2,0.346,,,,,,accuracy,2026-04-16,https://arcprize.org/leaderboard,no_model_match,direct,identity,True,metric_name_match,Legacy single-score rows are documented as ARC-AGI-2 accuracy.
arc-agi-2,arc_agi_2,ARC-AGI-2,gemini-3-flash-preview,gemini-cli,0.378,,,,,,accuracy,2026-04-16,https://arcprize.org/leaderboard,no_model_match,direct,identity,True,metric_name_match,Legacy single-score rows are documented as ARC-AGI-2 accuracy.
bfcl,bfcl,Berkeley Function Calling Leaderboard (BFCL),gpt-5.4,terminus-2,0.725203,,,,,,accuracy,2026-04-12,https://gorilla.cs.berkeley.edu/leaderboard.html,no_model_match,direct,identity,True,metric_name_match,"Use overall accuracy, not cost, latency, or format sensitivity metrics."
bfcl,bfcl,Berkeley Function Calling Leaderboard (BFCL),gpt-5.4,codex,0.673171,,,,,,accuracy,2026-04-12,https://gorilla.cs.berkeley.edu/leaderboard.html,no_model_match,direct,identity,True,metric_name_match,"Use overall accuracy, not cost, latency, or format sensitivity metrics."
bfcl,bfcl,Berkeley Function Calling Leaderboard (BFCL),gpt-5-mini,terminus-2,0.798374,0.72183,0.07654400000000006,GPT-5-mini-2025-08-07,,accuracy (overall),accuracy,2026-04-12,https://gorilla.cs.berkeley.edu/leaderboard.html,matched_model_only_doc_no_agent,direct,identity,True,metric_name_match,"Use overall accuracy, not cost, latency, or format sensitivity metrics."
bfcl,bfcl,Berkeley Function Calling Leaderboard (BFCL),gpt-5-mini,codex,0.762602,0.72183,0.04077200000000003,GPT-5-mini-2025-08-07,,accuracy (overall),accuracy,2026-04-12,https://gorilla.cs.berkeley.edu/leaderboard.html,matched_model_only_doc_no_agent,direct,identity,True,metric_name_match,"Use overall accuracy, not cost, latency, or format sensitivity metrics."
bfcl,bfcl,Berkeley Function Calling Leaderboard (BFCL),gpt-5-nano,terminus-2,0.63252,0.713683,-0.08116299999999999,GPT-5-nano-2025-08-07,,accuracy (overall),accuracy,2026-04-12,https://gorilla.cs.berkeley.edu/leaderboard.html,matched_model_only_doc_no_agent,direct,identity,True,metric_name_match,"Use overall accuracy, not cost, latency, or format sensitivity metrics."
bfcl,bfcl,Berkeley Function Calling Leaderboard (BFCL),gpt-5-nano,codex,0.621138,0.713683,-0.09254499999999999,GPT-5-nano-2025-08-07,,accuracy (overall),accuracy,2026-04-12,https://gorilla.cs.berkeley.edu/leaderboard.html,matched_model_only_doc_no_agent,direct,identity,True,metric_name_match,"Use overall accuracy, not cost, latency, or format sensitivity metrics."
bfcl,bfcl,Berkeley Function Calling Leaderboard (BFCL),claude-haiku-4-5-20251001,terminus-2,0.75935,0.830638,-0.07128800000000002,Claude-Haiku-4-5-20251001,,accuracy (overall),accuracy,2026-04-12,https://gorilla.cs.berkeley.edu/leaderboard.html,matched_model_only_doc_no_agent,direct,identity,True,metric_name_match,"Use overall accuracy, not cost, latency, or format sensitivity metrics."
bfcl,bfcl,Berkeley Function Calling Leaderboard (BFCL),claude-haiku-4-5-20251001,claude-code,0.726829,0.830638,-0.10380900000000004,Claude-Haiku-4-5-20251001,,accuracy (overall),accuracy,2026-04-12,https://gorilla.cs.berkeley.edu/leaderboard.html,matched_model_only_doc_no_agent,direct,identity,True,metric_name_match,"Use overall accuracy, not cost, latency, or format sensitivity metrics."
bfcl,bfcl,Berkeley Function Calling Leaderboard (BFCL),claude-sonnet-4-6,terminus-2,0.769106,,,,,,accuracy,2026-04-12,https://gorilla.cs.berkeley.edu/leaderboard.html,no_model_match,direct,identity,True,metric_name_match,"Use overall accuracy, not cost, latency, or format sensitivity metrics."
bfcl,bfcl,Berkeley Function Calling Leaderboard (BFCL),claude-sonnet-4-6,claude-code,0.80813,,,,,,accuracy,2026-04-12,https://gorilla.cs.berkeley.edu/leaderboard.html,no_model_match,direct,identity,True,metric_name_match,"Use overall accuracy, not cost, latency, or format sensitivity metrics."
bfcl,bfcl,Berkeley Function Calling Leaderboard (BFCL),claude-opus-4-6,terminus-2,0.762602,,,,,,accuracy,2026-04-12,https://gorilla.cs.berkeley.edu/leaderboard.html,no_model_match,direct,identity,True,metric_name_match,"Use overall accuracy, not cost, latency, or format sensitivity metrics."
bfcl,bfcl,Berkeley Function Calling Leaderboard (BFCL),claude-opus-4-6,claude-code,0.8,,,,,,accuracy,2026-04-12,https://gorilla.cs.berkeley.edu/leaderboard.html,no_model_match,direct,identity,True,metric_name_match,"Use overall accuracy, not cost, latency, or format sensitivity metrics."
bfcl,bfcl,Berkeley Function Calling Leaderboard (BFCL),gemini-3.1-pro-preview,terminus-2,0.843902,,,,,,accuracy,2026-04-12,https://gorilla.cs.berkeley.edu/leaderboard.html,no_model_match,direct,identity,True,metric_name_match,"Use overall accuracy, not cost, latency, or format sensitivity metrics."
bfcl,bfcl,Berkeley Function Calling Leaderboard (BFCL),gemini-3.1-pro-preview,gemini-cli,0.81626,,,,,,accuracy,2026-04-12,https://gorilla.cs.berkeley.edu/leaderboard.html,no_model_match,direct,identity,True,metric_name_match,"Use overall accuracy, not cost, latency, or format sensitivity metrics."
bfcl,bfcl,Berkeley Function Calling Leaderboard (BFCL),gemini-3-flash-preview,terminus-2,0.721951,,,,,,accuracy,2026-04-12,https://gorilla.cs.berkeley.edu/leaderboard.html,no_model_match,direct,identity,True,metric_name_match,"Use overall accuracy, not cost, latency, or format sensitivity metrics."
bfcl,bfcl,Berkeley Function Calling Leaderboard (BFCL),gemini-3-flash-preview,gemini-cli,0.739837,,,,,,accuracy,2026-04-12,https://gorilla.cs.berkeley.edu/leaderboard.html,no_model_match,direct,identity,True,metric_name_match,"Use overall accuracy, not cost, latency, or format sensitivity metrics."
bigcodebench,bigcodebench,BigCodeBench,gpt-5.4,terminus-2,0.388966,,,,,,calibrated Pass@1,2026-04-22,https://bigcode-bench.github.io/results.json,no_model_match,direct,identity,True,metric_name_match,Use the average calibrated pass@1 across complete and instruct variants.
bigcodebench,bigcodebench,BigCodeBench,gpt-5.4,codex,0.393103,,,,,,calibrated Pass@1,2026-04-22,https://bigcode-bench.github.io/results.json,no_model_match,direct,identity,True,metric_name_match,Use the average calibrated pass@1 across complete and instruct variants.
bigcodebench,bigcodebench,BigCodeBench,gpt-5-mini,terminus-2,0.34069,,,,,,calibrated Pass@1,2026-04-22,https://bigcode-bench.github.io/results.json,no_model_match,direct,identity,True,metric_name_match,Use the average calibrated pass@1 across complete and instruct variants.
bigcodebench,bigcodebench,BigCodeBench,gpt-5-mini,codex,0.26069,,,,,,calibrated Pass@1,2026-04-22,https://bigcode-bench.github.io/results.json,no_model_match,direct,identity,True,metric_name_match,Use the average calibrated pass@1 across complete and instruct variants.
bigcodebench,bigcodebench,BigCodeBench,gpt-5-nano,terminus-2,0.226207,,,,,,calibrated Pass@1,2026-04-22,https://bigcode-bench.github.io/results.json,no_model_match,direct,identity,True,metric_name_match,Use the average calibrated pass@1 across complete and instruct variants.
bigcodebench,bigcodebench,BigCodeBench,gpt-5-nano,codex,0.031724,,,,,,calibrated Pass@1,2026-04-22,https://bigcode-bench.github.io/results.json,no_model_match,direct,identity,True,metric_name_match,Use the average calibrated pass@1 across complete and instruct variants.
bigcodebench,bigcodebench,BigCodeBench,claude-haiku-4-5-20251001,terminus-2,0.366897,,,,,,calibrated Pass@1,2026-04-22,https://bigcode-bench.github.io/results.json,no_model_match,direct,identity,True,metric_name_match,Use the average calibrated pass@1 across complete and instruct variants.
bigcodebench,bigcodebench,BigCodeBench,claude-haiku-4-5-20251001,claude-code,0.304828,,,,,,calibrated Pass@1,2026-04-22,https://bigcode-bench.github.io/results.json,no_model_match,direct,identity,True,metric_name_match,Use the average calibrated pass@1 across complete and instruct variants.
bigcodebench,bigcodebench,BigCodeBench,claude-sonnet-4-6,terminus-2,0.41931,,,,,,calibrated Pass@1,2026-04-22,https://bigcode-bench.github.io/results.json,no_model_match,direct,identity,True,metric_name_match,Use the average calibrated pass@1 across complete and instruct variants.
bigcodebench,bigcodebench,BigCodeBench,claude-sonnet-4-6,claude-code,0.384828,,,,,,calibrated Pass@1,2026-04-22,https://bigcode-bench.github.io/results.json,no_model_match,direct,identity,True,metric_name_match,Use the average calibrated pass@1 across complete and instruct variants.
bigcodebench,bigcodebench,BigCodeBench,claude-opus-4-6,terminus-2,0.441379,,,,,,calibrated Pass@1,2026-04-22,https://bigcode-bench.github.io/results.json,no_model_match,direct,identity,True,metric_name_match,Use the average calibrated pass@1 across complete and instruct variants.
bigcodebench,bigcodebench,BigCodeBench,claude-opus-4-6,claude-code,0.401379,,,,,,calibrated Pass@1,2026-04-22,https://bigcode-bench.github.io/results.json,no_model_match,direct,identity,True,metric_name_match,Use the average calibrated pass@1 across complete and instruct variants.
